(.vsbenv) vojta@deb:~/projects/llm_judge2$  cd /home/vojta/projects/llm_judge2 ; /usr/bin/env /home/vojta/.venvs/.vsbenv/bin/python /home/vojta/.vscode/extensions/ms-python.debugpy-2025.18.0-linux-x64/bundled/libs/debugpy/adapter/../../debugpy/launcher 33533 -- /home/vojta/projects/llm_judge2/z_vkment/calculate_random_empiric_null_distributions.py 
[INFO] Loading data...
[INFO] Computing empirical distributions...
[INFO] Building vectors...
[INFO] Total vectors: 1380
[INFO] 1/1380 | ar_EG | coherence | 0a3da1ceeb83f664b813bb28f001d766
[INFO] 2/1380 | ar_EG | coherence | 104373856e995a074579797ebe34fcb2
[INFO] 3/1380 | ar_EG | coherence | 12f396cdef01341d9b307c7048b8d77a
[INFO] 4/1380 | ar_EG | coherence | 13ae1b97872d056d111cbf8dfd1617c2
[INFO] 5/1380 | ar_EG | coherence | 14e076d13751e87d8c09f7f13125e755
[INFO] 6/1380 | ar_EG | coherence | 169c53c4e9f905b5a1579bb2c89f80b4
[INFO] 7/1380 | ar_EG | coherence | 170d490a7ae53347e8fe3eabe4e28001
[INFO] 8/1380 | ar_EG | coherence | 177682e7e6b3b0b5e4ad47b2fcaa4451
[INFO] 9/1380 | ar_EG | coherence | 22645d3694ea307a2d88a0b1669a4550
[INFO] 10/1380 | ar_EG | coherence | 24223944994a18d516282ccef47ac54d
[INFO] 11/1380 | ar_EG | coherence | 25206396b6f90a56a632de9594cfa279
[INFO] 12/1380 | ar_EG | coherence | 34ff7b0c7d176187b5f56965bc072870
[INFO] 13/1380 | ar_EG | coherence | 362fcdcfe450161abe0dfc24f108c8a9
[INFO] 14/1380 | ar_EG | coherence | 38b0d67f9db7712c2c589f4ced8943f1
[INFO] 15/1380 | ar_EG | coherence | 44ea53138d50a0f07b1fb8d5fa927a6d
[INFO] 16/1380 | ar_EG | coherence | 453dbf627af720e73ca10e171bd55725
[INFO] 17/1380 | ar_EG | coherence | 619fdd90dcf02a109782351e726f434d
[INFO] 18/1380 | ar_EG | coherence | 63d411be4c5a409e108fbdce6e3f8689
[INFO] 19/1380 | ar_EG | coherence | 6caeb46fd20a0b0f5a9f74da715d8b77
[INFO] 20/1380 | ar_EG | coherence | 729ece24c8d479efaf9f43a78bcdf42f
[INFO] 21/1380 | ar_EG | coherence | 7a80c8edbaf9cffb15d2a71bb2427672
[INFO] 22/1380 | ar_EG | coherence | 7ce9fab7d8a5d11cac47de7ded5fb87c
[INFO] 23/1380 | ar_EG | coherence | 9071b005524e4661f6718fe829648c22
[INFO] 24/1380 | ar_EG | coherence | 941c034555e30f65555a5ce841836317
[INFO] 25/1380 | ar_EG | coherence | 95641032115fac92e1ea4efa811faae8
[INFO] 26/1380 | ar_EG | coherence | 9721721aee5763207020928a6be3d9b1
[INFO] 27/1380 | ar_EG | coherence | a87d8ce85c5e14f8054f86aaa36f49ad
[INFO] 28/1380 | ar_EG | coherence | a8de3aee209e73291020dfca4bc9547d
[INFO] 29/1380 | ar_EG | coherence | aec42313c4c01a4d1e2240d54ab41992
[INFO] 30/1380 | ar_EG | coherence | b15d69d9ac2994c645e9c261a9036af5
[INFO] 31/1380 | ar_EG | coherence | b400d942abc879906d5d2e7cbf1445b5
[INFO] 32/1380 | ar_EG | coherence | b9b10ffcbee1477b164fd32d4ef7fb40
[INFO] 33/1380 | ar_EG | coherence | c145f96bc4b6c5d0d18e06e89cb629bd
[INFO] 34/1380 | ar_EG | coherence | c78e58efb81dc261314dbe9683046b8a
[INFO] 35/1380 | ar_EG | coherence | cb75a2b7d6041b0ce85ec4218fe2f5e0
[INFO] 36/1380 | ar_EG | coherence | d48c3ed115b970b0947d892881d35aa9
[INFO] 37/1380 | ar_EG | coherence | df85068ad8d348d04f95ee17882f0da4
[INFO] 38/1380 | ar_EG | coherence | dff06d843446af8648fc9ff9afacb718
[INFO] 39/1380 | ar_EG | coherence | e164924261a2ff3dddb8d1e0b4e5fdb6
[INFO] 40/1380 | ar_EG | coherence | e4c27cfc2c87eba9a17d237c0988dcbd
[INFO] 41/1380 | ar_EG | coherence | e91353a8c4dde03994b2cbfb5521172e
[INFO] 42/1380 | ar_EG | coherence | f188e8e224ad837ca63d8472c69cf931
[INFO] 43/1380 | ar_EG | coherence | f41fcb5561abc3e4c98c32d80bd0ac2e
[INFO] 44/1380 | ar_EG | coherence | fb2c387e7e5272a43305940219116463
[INFO] 45/1380 | ar_EG | coherence | fd3d2779b04a00f64e86ebda4403eb34
[INFO] 46/1380 | ar_EG | coherence | fdefc09bc79c168c6ee59c351ac5db78
[INFO] 47/1380 | ar_EG | instruction_following | 0a3da1ceeb83f664b813bb28f001d766
[INFO] 48/1380 | ar_EG | instruction_following | 104373856e995a074579797ebe34fcb2
[INFO] 49/1380 | ar_EG | instruction_following | 12f396cdef01341d9b307c7048b8d77a
[INFO] 50/1380 | ar_EG | instruction_following | 13ae1b97872d056d111cbf8dfd1617c2
[INFO] 51/1380 | ar_EG | instruction_following | 14e076d13751e87d8c09f7f13125e755
