criterion,locale,instance_key,original_instance_id,acc_eq_prompt,judge_mean,judge_std,judge_min,judge_max,n_judges
coherence,ar_EG,0a3da1ceeb83f664b813bb28f001d766_with_ar_EG,0a3da1ceeb83f664b813bb28f001d766,0.7211538461538461,0.7211538461538461,0.09632214615785843,0.45,0.7833333333333333,13
coherence,ar_EG,104373856e995a074579797ebe34fcb2_with_ar_EG,104373856e995a074579797ebe34fcb2,0.9096153846153846,0.9096153846153846,0.13893802549617196,0.5833333333333334,1.0,13
coherence,ar_EG,12f396cdef01341d9b307c7048b8d77a_with_ar_EG,12f396cdef01341d9b307c7048b8d77a,0.5576923076923077,0.5576923076923077,0.15543627141994393,0.35833333333333334,0.875,13
coherence,ar_EG,13ae1b97872d056d111cbf8dfd1617c2_with_ar_EG,13ae1b97872d056d111cbf8dfd1617c2,0.47564102564102567,0.47564102564102567,0.0785031801123323,0.3,0.5833333333333334,13
coherence,ar_EG,14e076d13751e87d8c09f7f13125e755_with_ar_EG,14e076d13751e87d8c09f7f13125e755,0.6852564102564103,0.6852564102564103,0.16860517949549045,0.43333333333333335,1.0,13
coherence,ar_EG,169c53c4e9f905b5a1579bb2c89f80b4_with_ar_EG,169c53c4e9f905b5a1579bb2c89f80b4,0.38974358974358975,0.38974358974358975,0.06864713231394867,0.225,0.48333333333333334,13
coherence,ar_EG,170d490a7ae53347e8fe3eabe4e28001_with_ar_EG,170d490a7ae53347e8fe3eabe4e28001,0.6346153846153846,0.6346153846153846,0.18033681687710784,0.36666666666666664,0.8916666666666667,13
coherence,ar_EG,177682e7e6b3b0b5e4ad47b2fcaa4451_with_ar_EG,177682e7e6b3b0b5e4ad47b2fcaa4451,0.4358974358974359,0.4358974358974359,0.08259286407784389,0.275,0.5666666666666667,13
coherence,ar_EG,22645d3694ea307a2d88a0b1669a4550_with_ar_EG,22645d3694ea307a2d88a0b1669a4550,0.5602564102564103,0.5602564102564103,0.18321188673662916,0.19166666666666668,0.825,13
coherence,ar_EG,24223944994a18d516282ccef47ac54d_with_ar_EG,24223944994a18d516282ccef47ac54d,0.43974358974358974,0.43974358974358974,0.12982154088837677,0.275,0.725,13
coherence,ar_EG,25206396b6f90a56a632de9594cfa279_with_ar_EG,25206396b6f90a56a632de9594cfa279,0.8942307692307693,0.8942307692307693,0.116387792459597,0.675,1.0,13
coherence,ar_EG,34ff7b0c7d176187b5f56965bc072870_with_ar_EG,34ff7b0c7d176187b5f56965bc072870,0.7467948717948718,0.7467948717948718,0.12040337592639558,0.475,0.875,13
coherence,ar_EG,362fcdcfe450161abe0dfc24f108c8a9_with_ar_EG,362fcdcfe450161abe0dfc24f108c8a9,0.583974358974359,0.583974358974359,0.13588962443280955,0.4,0.875,13
coherence,ar_EG,38b0d67f9db7712c2c589f4ced8943f1_with_ar_EG,38b0d67f9db7712c2c589f4ced8943f1,0.6724358974358975,0.6724358974358975,0.16868172882984583,0.4166666666666667,1.0,13
coherence,ar_EG,44ea53138d50a0f07b1fb8d5fa927a6d_with_ar_EG,44ea53138d50a0f07b1fb8d5fa927a6d,0.5365384615384615,0.5365384615384615,0.11021540680610811,0.38333333333333336,0.6833333333333333,13
coherence,ar_EG,453dbf627af720e73ca10e171bd55725_with_ar_EG,453dbf627af720e73ca10e171bd55725,0.4596153846153846,0.4596153846153846,0.12692253733805706,0.15833333333333333,0.625,13
